origin,split,model,horizon,score,n_rows,actual_sum
2022-04-28,selection,ensemble_selected,5,0.334212275764359,24.0,30.0
2022-04-28,selection,ensemble_selected,6,-0.38907334728763354,24.0,21.0
2022-04-28,selection,ensemble_selected,7,0.22937285479277655,24.0,32.0
2022-04-28,selection,ensemble_selected,8,0.4565518567970491,24.0,65.0
2022-04-28,selection,ensemble_selected,9,0.6606621822670001,24.0,48.0
2022-04-28,selection,ensemble_selected,10,0.5413417934278322,24.0,66.0
2022-04-28,selection,ensemble_selected,11,0.2961008563196063,24.0,30.0
2022-04-28,selection,ensemble_selected,12,0.5890843315843315,24.0,37.0
2022-04-28,selection,ensemble_selected,13,0.42593710291901066,24.0,38.0
2022-04-28,selection,ensemble_selected,14,0.4164743757803352,24.0,43.0
2022-04-28,selection,ensemble_selected,15,0.6023376591395209,24.0,47.0
2022-04-28,selection,ensemble_selected,16,0.6233420824137735,24.0,34.0
2022-04-28,selection,ensemble_selected,17,0.6385128571066074,24.0,37.0
2022-04-28,selection,ensemble_selected,18,0.5128137674004606,24.0,31.0
2022-04-28,selection,ensemble_selected,19,0.603808274025908,24.0,56.0
2022-04-28,selection,ensemble_selected,20,0.5398910160790122,24.0,63.0
