model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
ensemble_bias_horizon,25,0.5770039258477258,1107.0,1021.5564852285125,509.7573766437527,-85.44351477148743,-0.07718474685771222,144.0
ensemble_bias_horizon,26,0.6137867099159543,1202.0,1043.4229408399901,499.8302099194433,-158.57705916001004,-0.13192766985025794,144.0
ensemble_bias_horizon,27,0.5324178112401001,1046.0,1088.287085622685,514.4847692531032,42.2870856226849,0.040427424113465484,144.0
ensemble_bias_horizon,28,0.5896261294821833,1153.0,1130.5822794785186,507.0310696438214,-22.41772052148137,-0.019442949281423566,144.0
ensemble_bias_item,1,0.6741476585511673,1003.0,921.5783523740661,397.87637361689673,-81.4216476259339,-0.08117811328607567,144.0
ensemble_bias_item,2,0.5929705419912327,982.0,906.7213611221094,449.2235288099773,-75.27863887789053,-0.07665849172901276,144.0
ensemble_bias_item,3,0.5084538213783782,869.0,869.3154700646467,465.5591918018778,0.3154700646467177,0.00036302654159576256,144.0
ensemble_bias_item,4,0.5772480165270016,962.0,887.0736789159026,455.77214133213965,-74.9263210840974,-0.0778859886529079,144.0
ensemble_bias_item,5,0.568775038232495,1024.0,908.6202903705557,496.95797074928623,-115.3797096294443,-0.1126754976850042,144.0
ensemble_bias_item,6,0.6088146734181273,1010.0,950.8804362633816,439.90580249075776,-59.11956373661839,-0.05853422152140435,144.0
ensemble_bias_item,7,0.6233677851458999,963.0,1004.8752193288535,426.5416306904845,41.87521932885352,0.04348413222103169,144.0
ensemble_bias_item,8,0.6976502019633966,1050.0,951.3962584681974,377.72100944420356,-98.60374153180271,-0.09390832526838354,144.0
ensemble_bias_item,9,0.570429085864375,1063.0,936.837768583762,496.0820692393781,-126.16223141623803,-0.11868507188733587,144.0
ensemble_bias_item,10,0.5592322623664658,967.0,900.1620224674703,471.5462368725401,-66.83797753252976,-0.06911890127459128,144.0
ensemble_bias_item,11,0.5506004519819965,1059.0,918.5392973058044,509.333013096057,-140.46070269419556,-0.13263522445155387,144.0
ensemble_bias_item,12,0.6192885712573732,1100.0,938.0873266271584,471.67442289435587,-161.91267337284154,-0.14719333942985593,144.0
ensemble_bias_item,13,0.6028018390440614,998.0,982.5752464369465,434.2767662101382,-15.424753563053544,-0.015455664892839222,144.0
ensemble_bias_item,14,0.6561239523215394,1054.0,1036.0634499663163,394.5826370948451,-17.936550033683787,-0.01701759965245141,144.0
ensemble_bias_item,15,0.6654102600781672,1124.0,982.1753599292056,437.78650800337135,-141.82464007079435,-0.1261785054010626,144.0
ensemble_bias_item,16,0.5500207936676781,1012.0,965.7265891142152,488.7691705513698,-46.273410885784756,-0.045724714314016555,144.0
